Day,Canada,France,Germany,India,United Kingdom,United States
2021/1/27,734.753,1349.2993,1091.8662,155.29173,5271.745,4017.8313
2021/1/28,668.3166,1310.8721,1070.018,188.86812,5279.2314,4152.875
2021/1/29,608.4119,1288.6063,1079.1871,211.40941,5299.902,4269.261
2021/1/30,563.05743,1278.0209,1081.0186,216.69084,5542.952,4314.752
2021/1/31,528.1281,1272.1107,1097.0276,214.8073,5754.845,4339.8164
2021/2/1,509.21356,1264.6356,1147.0885,193.06017,5904.0527,4353.9854
2021/2/2,442.8544,1278.5404,1205.2007,211.4097,6038.4717,4371.5293
2021/2/3,408.0612,1276.2491,1296.2366,209.8197,6368.073,4461.773
2021/2/4,388.08682,1268.6189,1367.5529,203.58786,6511.4097,4623.435
2021/2/5,394.821,1280.4608,1435.2164,192.10556,6528.786,4808.633
2021/2/6,418.61505,1281.9977,1445.4865,203.54738,6408.2217,4927.8916
2021/2/7,450.61157,1290.9255,1439.1987,205.80545,6319.4976,4919.401
2021/2/8,462.03757,1332.8274,1420.4305,231.39514,6326.5293,4989.84
2021/2/9,517.96063,1406.1082,1423.6586,247.81042,6406.2583,5102.416
2021/2/10,577.8579,1496.5743,1410.473,257.32327,6372.09,5171.1816
2021/2/11,629.9796,1616.8976,1427.544,255.11873,6422.7275,5198.133
2021/2/12,681.13354,1700.8479,1442.3315,255.64319,6529.9053,5297.3843
2021/2/13,727.01056,1717.0999,1465.6019,228.21614,6439.2573,5369.018
2021/2/14,735.80176,1719.5183,1485.8531,247.77109,6355.5015,5430.8804
2021/2/15,696.18054,1760.9999,1513.8381,226.27496,6200.867,5268.5137
2021/2/16,693.07477,1772.9259,1514.1898,225.07402,6121.882,5119.79
2021/2/17,661.932,1779.2047,1508.1925,217.4435,6208.9487,4976.001
2021/2/18,639.1462,1780.3191,1509.0573,234.66846,6124.21,4742.5405
2021/2/19,687.0471,1784.5631,1513.5323,248.77776,5784.3955,4477.508
2021/2/20,752.4532,1795.821,1521.4935,279.2022,5442.302,4407.628
2021/2/21,844.74445,1789.2858,1556.4729,280.6746,5255.8584,4411.9507
2021/2/22,1034.567,1780.0992,1608.7306,291.37442,5105.6514,4525.3447
2021/2/23,1121.8389,1756.4626,1669.2382,305.67874,5054.8022,4659.234
2021/2/24,1214.2626,1725.1333,1712.1823,318.6899,5019.848,4894.055
2021/2/25,1329.5935,1721.2534,1788.9249,322.7637,5130.309,5347.1157
2021/2/26,1395.5332,1779.0474,1883.0223,331.4302,5444.7446,5828.355
2021/2/27,1434.2528,1838.1647,1943.9088,341.1743,5633.078,6114.781
2021/2/28,1451.4121,1840.1952,1973.8373,322.3196,5747.667,6221.4116
2021/3/1,1442.4736,1860.3529,2046.5348,343.76178,5790.927,6484.013
2021/3/2,1537.845,1923.876,2130.9924,372.15585,5630.2183,6704.89
2021/3/3,1643.4573,2008.0503,2252.553,425.88004,5351.187,6864.1206
2021/3/4,1720.2931,2103.9763,2346.7336,494.93634,5194.8994,6974.404
2021/3/5,1787.436,2275.168,2451.8147,575.34436,5104.736,7024.5796
2021/3/6,1829.865,2600.433,2544.721,669.455,5133.1714,7054.892
2021/3/7,1871.396,2848.184,2620.0842,670.25146,5088.7505,7087.08
2021/3/8,1970.3662,2927.2932,2686.8286,817.26074,5136.128,7119.009
2021/3/9,1953.1996,3056.4368,2743.0923,876.64764,5165.28,7223.3545
2021/3/10,1968.9274,3172.9578,2812.8064,908.89935,5151.96,7319.2026
2021/3/11,2039.489,3325.27,2879.41,817.74384,4959.0273,7427.4307
2021/3/12,2134.4666,3507.5562,2968.9116,874.0014,4881.5405,7515.724
2021/3/13,2254.3015,3553.3203,3034.6997,883.55365,5124.3184,7571.524
2021/3/14,2386.0852,3426.4531,3073.155,893.8727,5329.6533,7593.394
2021/3/15,2526.4614,3498.5808,3091.7432,996.065,5719.3613,7638.6704
2021/3/16,2714.4514,3394.9082,2966.4058,1072.0255,6219.924,7709.673
2021/3/17,2942.3975,3291.434,2824.3186,1148.3551,6724.489,7722.6064
2021/3/18,3158.6453,3087.139,2670.2537,1320.3995,7365.4546,7694.7456
2021/3/19,3353.8184,2911.6167,2530.0405,1387.5514,7959.269,7639.227
2021/3/20,3455.1917,2763.749,2495.467,1489.8264,8546.004,7623.9487
2021/3/21,3446.187,2732.9067,2485.9175,1519.1439,8833.559,7641.526
2021/3/22,3525.5728,2761.8586,2520.6165,1558.15,8775.196,7672.6577
2021/3/23,3543.6963,3004.1003,2724.071,1581.1595,8703.297,7742.085
2021/3/24,3659.6343,3246.4692,2951.1,1603.7798,8700.054,7899.893
2021/3/25,3784.7317,3623.6182,3186.5693,1620.0325,8488.527,8076.564
2021/3/26,3982.2083,3912.1047,3404.9575,1608.1823,8392.779,8282.64
2021/3/27,4116.428,3985.7046,3508.834,1570.0542,8013.2695,8412.502
2021/3/28,4329.6694,4011.2725,3562.9265,1549.8593,8058.369,8489.456
2021/3/29,4485.674,4125.0845,3623.553,1264.6631,8043.371,8689.075
2021/3/30,4663.2314,4260.427,3669.2612,1224.0042,8061.7974,8912.143
2021/3/31,4854.5444,4339.316,3660.131,1199.8629,8159.651,9171.001
2021/4/1,4921.548,4385.119,3659.4397,1331.4039,8278.8955,9487.719
2021/4/2,4746.7314,4332.4487,3407.4075,1497.7529,7564.585,9418.07
2021/4/3,4837.0615,4314.067,3322.4758,1574.4567,6775.9854,9347.711
2021/4/4,4737.469,4317.57,3316.9202,1861.5753,6052.307,9160.907
2021/4/5,4713.1675,3923.9102,3219.7546,2204.6157,5424.33,9273.504
2021/4/6,4815.674,3869.7095,3332.163,2407.618,4939.099,9433.287
2021/4/7,4855.435,3952.6616,3997.146,2513.6172,4689.5845,9511.851
2021/4/8,5039.918,4066.3398,4652.645,2560.1545,4541.3975,9479.146
2021/4/9,5529.1426,4391.7407,5323.9873,2507.6128,4966.669,9759.372
2021/4/10,5708.7754,4589.686,5556.5376,2567.2073,5594.3003,10004.984
2021/4/11,5937.005,4643.0806,5671.367,2547.9553,5936.0986,10271.675
2021/4/12,6508.0186,5244.926,5949.286,2547.8308,6262.469,10239.648
2021/4/13,6765.8633,5510.815,6308.477,2415.5337,6507.1772,10034.847
2021/4/14,7000.308,5638.109,6448.692,2434.8223,6410.1475,9762.332
2021/4/15,7183.334,5696.17,6387.532,2293.9802,6414.2417,9451.588
2021/4/16,7250.6978,5609.0493,6321.2817,2191.0767,6578.11,9158.448
2021/4/17,7293.2407,5572.8853,6303.832,2107.3884,6688.619,8938.988
2021/4/18,7357.929,5565.9966,6314.087,1936.6681,6784.0186,8827.65
2021/4/19,7084.3013,5547.688,6290.745,1863.7101,7019.3794,8645.926
2021/4/20,6960.816,5490.161,6265.8745,1724.6038,7163.623,8543.134
2021/4/21,7033.497,5468.049,6165.799,1518.6334,7316.7383,8452.373
